rank,index,block,field,hashed,mi_score
105,1142,imports,imports.libraries_hashed[146],True,0.0
106,1144,imports,imports.libraries_hashed[148],True,0.0
107,1145,imports,imports.libraries_hashed[149],True,0.0
108,1147,imports,imports.libraries_hashed[151],True,0.0
109,1149,imports,imports.libraries_hashed[153],True,0.0
110,2505,pefilewarnings,"pewarn:Error parsing the version information, attempting to read VS_VERSION_INFO string...",False,0.0
111,2506,pefilewarnings,"pewarn:Error parsing the version information, attempting to read VarFileInfo Var string...",False,0.0
112,2507,pefilewarnings,"pewarn:Error parsing the version information, attempting to read StringFileInfo string...",False,0.0
113,2537,pefilewarnings,pewarn:Overlapping offsets in relocation data...,False,0.0
114,2531,pefilewarnings,pewarn:Invalid resources directory. Can't read...,False,0.0
115,2528,pefilewarnings,pewarn:Invalid relocation information. Can't read...,False,0.0
116,1243,imports,imports.libraries_hashed[247],True,0.0
117,2521,pefilewarnings,pewarn:Invalid bdd dynamic relocation...,False,0.0
118,2565,pefilewarnings,pewarn:...ordinal entries. Assuming corrupt.,False,0.0
119,2536,pefilewarnings,pewarn:No parsing available for IMAGE_DYNAMIC_RELOCATION_TABLE...,False,0.0
120,2533,pefilewarnings,pewarn:Invalid TLS information. Can't read...,False,0.0
121,2,general,is_pe,False,1.2332142542239612e-07
122,2545,pefilewarnings,pewarn:RVA of IMAGE_BOUND_IMPORT_DESCRIPTOR points...,False,3.668026433256699e-06
123,4,general,start_bytes[1],False,1.3872394671854231e-05
124,3,general,start_bytes[0],False,1.3872394671854231e-05
125,633,strings,string_count_base64string,False,2.6493141049854785e-05
126,1079,imports,imports.libraries_hashed[83],True,3.605659443395304e-05
127,2518,pefilewarnings,pewarn:If SectionAlignment...,False,5.1654807934120583e-05
128,1208,imports,imports.libraries_hashed[212],True,5.282353754698654e-05
129,1097,imports,imports.libraries_hashed[101],True,9.52681247090581e-05
130,2560,pefilewarnings,"pewarn:...PointerToRawData should normally be a multiple of FileAlignment, this might imply the file is trying to confuse tools which parse this incorrectly.",False,0.0001059283005984124
131,2488,pefilewarnings,pewarn:Error parsing export directory at RVA...,False,0.00011662353601771258
132,1226,imports,imports.libraries_hashed[230],True,0.0001516506213148361
133,1030,imports,imports.libraries_hashed[34],True,0.00016289044550021892
134,2542,pefilewarnings,"pewarn:Rich Header is not in Microsoft format, possibly malformed...",False,0.0001660039143331904
135,2527,pefilewarnings,pewarn:Invalid LOAD_CONFIG information...,False,0.00018035917202841034
136,1191,imports,imports.libraries_hashed[195],True,0.0001852883807198502
