rank,index,block,field,hashed,mean_abs_shap,cluster_id,drop_reason
65,2488,pefilewarnings,pewarn:Error parsing export directory at RVA...,False,0,-1,inactive
66,2487,pefilewarnings,pewarn:Error parsing a resource directory data entry...,False,0,-1,inactive
67,2486,pefilewarnings,"pewarn:Error, too many imported symbols...",False,0,-1,inactive
68,2485,pefilewarnings,pewarn:Don't know how to parse LOAD_CONFIG information for non-PE32...,False,0,-1,inactive
69,2483,pefilewarnings,pewarn:Corrupt header...,False,0,-1,inactive
70,2482,pefilewarnings,pewarn:Byte 0x...,False,0,-1,inactive
71,2481,pefilewarnings,pewarn:Bad RVA in relocation data...,False,0,-1,inactive
72,2476,authenticode,auth.parse_error,False,0,-1,inactive
73,2442,richheader,richheader.pair_hashed[2],True,0,-1,inactive
74,2438,datadirectories,has_dynamic_relocs,False,0,-1,inactive
75,2436,datadirectories,datadir.RESERVED.virtual_address,False,0,-1,inactive
76,2435,datadirectories,datadir.RESERVED.size,False,0,-1,inactive
77,2422,datadirectories,datadir.GLOBALPTR.virtual_address,False,0,-1,inactive
78,2421,datadirectories,datadir.GLOBALPTR.size,False,0,-1,inactive
79,2420,datadirectories,datadir.COPYRIGHT.virtual_address,False,0,-1,inactive
80,2419,datadirectories,datadir.COPYRIGHT.size,False,0,-1,inactive
81,2404,exports,exports.names_hashed[127],True,0,-1,inactive
82,2403,exports,exports.names_hashed[126],True,0,-1,inactive
83,2402,exports,exports.names_hashed[125],True,0,-1,inactive
84,2398,exports,exports.names_hashed[121],True,0,-1,inactive
85,2397,exports,exports.names_hashed[120],True,0,-1,inactive
86,2395,exports,exports.names_hashed[118],True,0,-1,inactive
87,2393,exports,exports.names_hashed[116],True,0,-1,inactive
88,2392,exports,exports.names_hashed[115],True,0,-1,inactive
89,2391,exports,exports.names_hashed[114],True,0,-1,inactive
90,2389,exports,exports.names_hashed[112],True,0,-1,inactive
91,2388,exports,exports.names_hashed[111],True,0,-1,inactive
92,2387,exports,exports.names_hashed[110],True,0,-1,inactive
93,2385,exports,exports.names_hashed[108],True,0,-1,inactive
94,2383,exports,exports.names_hashed[106],True,0,-1,inactive
95,2382,exports,exports.names_hashed[105],True,0,-1,inactive
96,2381,exports,exports.names_hashed[104],True,0,-1,inactive
97,2380,exports,exports.names_hashed[103],True,0,-1,inactive
98,2378,exports,exports.names_hashed[101],True,0,-1,inactive
99,2377,exports,exports.names_hashed[100],True,0,-1,inactive
100,2376,exports,exports.names_hashed[99],True,0,-1,inactive
101,2374,exports,exports.names_hashed[97],True,0,-1,inactive
102,2373,exports,exports.names_hashed[96],True,0,-1,inactive
103,2372,exports,exports.names_hashed[95],True,0,-1,inactive
104,2371,exports,exports.names_hashed[94],True,0,-1,inactive
105,2368,exports,exports.names_hashed[91],True,0,-1,inactive
106,2367,exports,exports.names_hashed[90],True,0,-1,inactive
107,2366,exports,exports.names_hashed[89],True,0,-1,inactive
108,2365,exports,exports.names_hashed[88],True,0,-1,inactive
