rank,index,block,field,hashed,mi_score
104,1016,imports,imports.libraries_hashed[20],True,0.0
105,744,header,optional.dll_characteristics:FORCE_INTEGRITY,False,0.0
106,1210,imports,imports.libraries_hashed[214],True,0.0
107,2510,pefilewarnings,"pewarn:Error parsing the version information, to read StringTable Value string...",False,0.0
108,2509,pefilewarnings,"pewarn:Error parsing the version information, attempting to read StringTable Key string...",False,0.0
109,2507,pefilewarnings,"pewarn:Error parsing the version information, attempting to read StringFileInfo string...",False,0.0
110,2506,pefilewarnings,"pewarn:Error parsing the version information, attempting to read VarFileInfo Var string...",False,0.0
111,2552,pefilewarnings,pewarn:Too many errors parsing the Delay import directory...,False,0.0
112,2556,pefilewarnings,pewarn:Unsupported version of UNWIND_INFO...,False,0.0
113,2550,pefilewarnings,pewarn:The Bound Imports directory exists but can't be parsed...,False,0.0
114,2530,pefilewarnings,pewarn:Invalid relocation information. VirtualAddress outside...,False,0.0
115,2529,pefilewarnings,pewarn:Invalid relocation information. SizeOfBlock too large...,False,0.0
116,2528,pefilewarnings,pewarn:Invalid relocation information. Can't read...,False,0.0
117,2526,pefilewarnings,pewarn:Invalid IMAGE_DYNAMIC_RELOCATION_TABLE information...,False,0.0
118,2525,pefilewarnings,pewarn:Invalid function override info...,False,0.0
119,2524,pefilewarnings,pewarn:Invalid function override header...,False,0.0
120,2565,pefilewarnings,pewarn:...ordinal entries. Assuming corrupt.,False,0.0
121,2566,pefilewarnings,pewarn:...Assuming corrupt.,False,0.0
122,2514,pefilewarnings,"pewarn:Failed rendering pascal string, attempting to read from RVA 0x...",False,0.0
123,2503,pefilewarnings,"pewarn:Error parsing the resources directory, attempting to read entry name. Can't read unicode string at offset...",False,0.0
124,2502,pefilewarnings,"pewarn:Error parsing the resources directory, attempting to read entry name. Entry names overlap...",False,0.0
125,1240,imports,imports.libraries_hashed[244],True,4.682592728899593e-06
126,2555,pefilewarnings,pewarn:Unknown UNWIND_CODE at...,False,8.039126366377047e-06
127,2,general,is_pe,False,1.1887262828549211e-05
128,1134,imports,imports.libraries_hashed[138],True,1.9655338573620895e-05
129,1192,imports,imports.libraries_hashed[196],True,2.4080934335479753e-05
130,1084,imports,imports.libraries_hashed[88],True,4.4651710873422346e-05
131,1014,imports,imports.libraries_hashed[18],True,7.813263675782167e-05
132,1072,imports,imports.libraries_hashed[76],True,8.376406728172192e-05
133,1219,imports,imports.libraries_hashed[223],True,8.8608493213016e-05
134,2544,pefilewarnings,pewarn:RVA AddressOfNames in the export directory points to an invalid...,False,9.077647986077686e-05
135,1067,imports,imports.libraries_hashed[71],True,9.993640405636661e-05
136,1204,imports,imports.libraries_hashed[208],True,0.00013165033084705513
137,1146,imports,imports.libraries_hashed[150],True,0.0001367364581710273
138,1064,imports,imports.libraries_hashed[68],True,0.00015816475510610495
139,748,header,optional.dll_characteristics:NO_BIND,False,0.00020276170270938643
140,1013,imports,imports.libraries_hashed[17],True,0.00021318355652111265
141,1179,imports,imports.libraries_hashed[183],True,0.0002347228142276503
142,1202,imports,imports.libraries_hashed[206],True,0.0002485956192692651
143,1184,imports,imports.libraries_hashed[188],True,0.000249370568876639
144,2498,pefilewarnings,pewarn:Error parsing the resources directory. Excessively nested table depth...,False,0.00025115115998963766
145,1085,imports,imports.libraries_hashed[89],True,0.0002621504007755959
146,1080,imports,imports.libraries_hashed[84],True,0.00031354655777660057
147,1094,imports,imports.libraries_hashed[98],True,0.00031521061860839694
148,2557,pefilewarnings,pewarn:...Contents are null-bytes.,False,0.0003202394803980546
149,2527,pefilewarnings,pewarn:Invalid LOAD_CONFIG information...,False,0.00033293254941524353
150,784,section,section.sizes_hashed[3],True,0.0003376262531129548
151,907,section,section.entropy_hashed[26],True,0.00034410246019023205
152,633,strings,string_count_base64string,False,0.0003695371662861824
153,1213,imports,imports.libraries_hashed[217],True,0.0003740488250560947
154,987,section,section.entry_name_hashed[6],True,0.0003830378383105071
155,997,imports,imports.libraries_hashed[1],True,0.0003897152368044221
156,884,section,section.entropy_hashed[3],True,0.0004002576087887011
157,1234,imports,imports.libraries_hashed[238],True,0.0004314637640476793
158,1020,imports,imports.libraries_hashed[24],True,0.00046637811415717323
159,856,section,section.vsize_hashed[25],True,0.0004757032107836068
160,1083,imports,imports.libraries_hashed[87],True,0.0004962993931065807
161,926,section,section.entropy_hashed[45],True,0.000507458443065989
162,1189,imports,imports.libraries_hashed[193],True,0.0005179658112048902
163,1133,imports,imports.libraries_hashed[137],True,0.0005298052642033202
164,2562,pefilewarnings,pewarn:...VirtualSize is extremely large > 256MiB,False,0.0005355612408177723
165,1116,imports,imports.libraries_hashed[120],True,0.0005360903199314038
166,1140,imports,imports.libraries_hashed[144],True,0.0005386925296368972
167,2531,pefilewarnings,pewarn:Invalid resources directory. Can't read...,False,0.0005402051155107834
168,2482,pefilewarnings,pewarn:Byte 0x...,False,0.0005475992875587643
169,1166,imports,imports.libraries_hashed[170],True,0.0005826916533242521
170,626,strings,string_count_/tmp/,False,0.000605419095344395
171,1129,imports,imports.libraries_hashed[133],True,0.0006058193821094626
172,1098,imports,imports.libraries_hashed[102],True,0.0006326271608947387
173,659,strings,string_count_get,False,0.0006362437823008715
174,801,section,section.sizes_hashed[20],True,0.0006744558093720876
175,1153,imports,imports.libraries_hashed[157],True,0.0006794455610932282
176,1232,imports,imports.libraries_hashed[236],True,0.0006853065687726367
177,1181,imports,imports.libraries_hashed[185],True,0.0006994950945844458
178,661,strings,string_count_hostname,False,0.0007146827573196735
179,1172,imports,imports.libraries_hashed[176],True,0.0007213102490584156
180,1012,imports,imports.libraries_hashed[16],True,0.0007226803627169431
181,1092,imports,imports.libraries_hashed[96],True,0.0007452969158796563
182,2533,pefilewarnings,pewarn:Invalid TLS information. Can't read...,False,0.0007458428837709974
183,693,strings,string_count_useragent,False,0.0007733745880749154
184,1222,imports,imports.libraries_hashed[226],True,0.0007821859369783191
185,628,strings,string_count_<script,False,0.0007880902265036127
186,631,strings,string_count_Start-process,False,0.0007930575010257623
187,2504,pefilewarnings,"pewarn:Error parsing the version information, attempting to read OffsetToData with RVA...",False,0.0008096457808526303
188,998,imports,imports.libraries_hashed[2],True,0.0008105847652752907
